updated 10/16/14,,,,
CID,CRPName,Party,DistIDRunFor,FECCandID
N00036557,"Gerrard, Roger",I,MS03,H4MS03058
N00034977,"Gesty, Scott",L,DE01,H2DE00148
N00026251,"Gianoutsos, Ted",I,AKS1,S4AK00115
N00031128,"Gibbs, Bob",R,OH07,H0OH18077
N00031998,"Gibson, Chris",R,NY19,H0NY20095
N00034967,"Gibson, Mark",I,VA11,H2VA11172
N00036064,"Gillespie, Ed",R,VAS2,S4VA00155
N00027658,"Gillibrand, Kirsten",D,NYS1,S0NY00410
N00024760,"Gingrey, Phil",R,GAS1,S2GA00100
N00034065,"Gluck, George",3,MD06,H2MD08175
N00036806,"Gnadt, Loel",L,MI01,H4MI01148
N00036841,"Godfrey, Sean",I,AKS1,S4AK00289
N00026148,"Gohmert, Louis B Jr",R,TX01,H4TX04039
N00036560,"Goikhman, Dorit",L,NJ06,H4NJ06117
N00036741,"Goldsmith, Gardner",L,NHS2,S4NH00179
N00009154,"Goodlatte, Bob",R,VA06,H2VA06115
N00036273,"Goodrich, Bob",D,MI03,H4MI03227
N00036342,"Goossen, David",I,NV03,H4NV03126
N00035707,"Gorell, Jeff",R,CA26,H4CA26147
N00036612,"Gorman, Jeff",R,MI13,H4MI13200
N00030771,"Gosar, Paul",R,AZ04,H0AZ01259
N00036210,"Gottshall, Curt",I,WYS2,S4WY00105
N00036488,"Gouge, Casey",I,TN02,H4TN02076
N00030880,"Gowdy, Trey",R,SC04,H0SC04257
N00013685,"Graeser, Ron",3,MI02,H0MI02086
N00035688,"Graham, Gwen",D,FL02,H4FL02062
N00009975,"Graham, Lindsey",R,SCS2,S0SC00149
N00008799,"Granger, Kay",R,TX12,H6TX12060
N00035023,"Grant, Clay",L,LA05,H2LA05118
N00001758,"Grassley, Chuck",R,IAS1,S0IA00028
N00036135,"Graves, Garret",R,LA06,H4LA06153
N00013323,"Graves, Sam",R,MO06,H0MO06073
N00030788,"Graves, Tom",R,GA14,H0GA09030
N00028418,"Grayson, Alan",D,FL09,H6FL08213
N00029204,"Grayson, Richard",D,WY01,H4WY00170
N00026686,"Green, Al",D,TX09,H4TX09095
N00005870,"Green, Gene",D,TX29,H2TX29030
N00031203,"Greenberg, Mark",R,CT05,H0CT05150
N00009743,"Greene, Mark",D,TX12,H0TX12147
N00036628,"Griffin, Calvin",I,HI01,H4HI01183
N00031297,"Griffin, Tim",R,AR02,H0AR02107
N00032029,"Griffith, Morgan",R,VA09,H0VA09055
N00025284,"Grijalva, Raul M",D,AZ03,H2AZ07070
N00035486,"Grimes, Alison",D,KYS1,S4KY00091
N00031401,"Grimm, Michael",R,NY11,H0NY13074
N00029400,"Grisham, Michelle Lujan",D,NM01,H8NM01257
N00036409,"Grothman, Glenn S",R,WI06,H4WI06048
N00036664,"Gruett, Ron",D,WI08,H4WI08077
N00036751,"Guerriero, Jeff",R,LA05,H4LA05254
N00036655,"Guillot, BJ",R,WA02,H4WA02157
N00030801,"Guinta, Frank",R,NH01,H0NH01217
N00036850,"Gurney, Barry",I,NCS1,S4NC00279
N00029675,"Guthrie, Brett",R,KY02,H8KY02031
N00004874,"Gutierrez, Luis V",D,IL04,H2IL08039
N00036146,"Haddox, Steven",L,MD08,H4MD08197
N00029617,"Hagan, Kay R",D,NCS1,S8NC00239
N00031390,"Hagedorn, Jim",R,MN01,H0MN01045
N00006806,"Hahn, Janice",D,CA44,H8CA36097
N00035197,"Hall, Heidi",D,CA01,H4CA01066
N00025740,"Hall, Jim",3,MA05,H2MA07084
N00005645,"Hall, Ralph",R,TX04,H0TX04037
N00035395,"Halter, Irving Jr",D,CO05,H4CO05055
N00036228,"Hamilton, Ken",L,AR04,H4AR04071
N00035986,"Hamilton, Shawn Michael",L,TX17,H4TX17106
N00036651,"Hammer, Will",L,VA06,H4VA06020
N00036842,"Hammons, Bill",3,COS2,S4CO00411
N00036642,"Hampton, Terry",I,MO08,H4MO08220
N00025881,"Hanabusa, Colleen",D,HIS1,S4HI00144
N00030197,"Hanna, Richard",R,NY22,H8NY24066
N00025713,"Hansen, Janine",3,NV02,H2NV02205
N00036198,"Hansen, Sharon",L,ILS1,S4IL00479
N00036539,"Hardwick, Alan",R,MI05,H4MI05123
N00036070,"Hardy, Charles E",D,WYS2,S4WY00097
N00035628,"Hardy, Cresent",R,NV04,H4NV04017
N00004207,"Harkin, Tom",D,IAS2,S4IA00020
N00032364,"Harlow, David",L,OH10,H0OH08136
N00036818,"Harmati, Louis",I,NC07,H4NC07118
N00029632,"Harper, Gregg",R,MS03,H8MS03067
N00029147,"Harris, Andy",R,MD01,H8MD01094
N00036613,"Harris, Mark L",D,WI06,H4WI06071
N00036586,"Harrold, Marc",L,VA11,H4VA11103
N00035631,"Hart, Bob",3,OH12,H4OH12064
N00031005,"Hartzler, Vicky",R,MO04,H0MO04086
N00013771,"Hartzok, Alanna K",D,PA09,H2PA09043
N00036811,"Hass, Erwin",L,MI06,H4MI06121
N00002884,"Hastings, Alcee L",D,FL20,H2FL23021
N00009157,"Hastings, Doc",R,WA04,H2WA04041
N00009869,"Hatch, Orrin G",R,UTS1,S6UT00063
N00018217,"Hatchett, Charles",D,KY01,H4KY01016
N00025670,"Haugh, Sean",L,NCS1,S2NC00257
N00036805,"Hawes, Leigh M",I,ME02,H4ME02259
N00035985,"Haynes, Nick",D,TX17,H4TX17098
N00005459,"Hays, Patrick Henry",D,AR02,H4AR02133
N00031124,"Hayworth, Nan",R,NY18,H0NY19139
N00034132,"Headrick, Mary Margaret",D,TN03,H2TN03144
N00031557,"Heck, Dennis",D,WA10,H0WA03161
N00031244,"Heck, Joe",R,NV03,H0NV03058
N00034717,"Hedge, Bill",D,MO06,H2MO06202
N00028451,"Hedrick, Steven",L,MO03,H0MO03179
N00029835,"Heinrich, Martin",D,NMS1,S2NM00088
N00033782,"Heitkamp, Heidi",D,NDS2,S2ND00099
N00034324,"Heitzman, Susan Hall",D,IN06,H2IN06239
N00027522,"Heller, Dean",R,NVS1,S2NV00183
N00024922,"Hensarling, Jeb",R,TX05,H2TX05121
N00031931,"Herr, Brian",R,MAS2,S4MA00234
N00031559,"Herrera Beutler, Jaime",R,WA03,H0WA03187
N00032243,"Hice, Jody B",R,GA10,H0GA07125
N00027060,"Higgins, Brian M",D,NY26,H4NY27076
N00036833,"Hildebrandt, Elaine B",3,VA06,H4VA06038
N00035030,"Hildebrandt, Ken",3,VA05,H2VA05059
N00035792,"Hill, French",R,AR02,H4AR02141
N00032983,"Hill, Sid",3,AKS1,S0AK00162
N00036312,"Hill, Tom",D,NC11,H4NC11086
N00011129,"Hill, Wayne L",3,UT02,H2UT03140
N00029070,"Himes, Jim",D,CT04,H8CT04172
N00006008,"Hinojosa, Ruben",D,TX15,H6TX15055
N00036494,"Hinton, James",I,CA05,H4CA05257
N00035312,"Hinz, Janet",I,WI04,H4WI00017
N00028139,"Hirono, Mazie K",D,HIS2,S2HI00106
N00031688,"Hoeven, John",R,NDS1,S0ND00093
N00034293,"Holcomb, David Christopher",I,NES2,S4NE00108
N00036798,"Holder, Bryan Jack",I,IA03,H4IA03149
N00033399,"Holding, George",R,NC13,H2NC13110
N00036048,"Hollis, Paul",R,LAS1,S4LA00131
N00005437,"Holloway, Clyde C",R,LA05,H0LA08017
N00036538,"Holmes, Jeff",D,MI04,H4MI04134
N00000860,"Holt, Rush",D,NJ12,H6NJ12144
N00012611,"Honda, Mike",D,CA17,H0CA15148
N00025924,"Horning, Andy",L,IN08,H2IN07088
N00033638,"Horsford, Steven",D,NV04,H2NV04011
N00036178,"Houghton, Tom",D,PA16,H4PA16085
N00036486,"Howie, Gordon",I,SDS2,S4SD00106
N00001821,"Hoyer, Steny H",D,MD05,H2MD05155
N00035897,"Hoyt, Nancy",R,MD04,H4MD04121
N00036783,"Hudok, Paul",3,WVS2,S4WV00274
N00033630,"Hudson, Richard",R,NC08,H2NC08185
N00027649,"Huelskamp, Tim",R,KS01,H6KS01146
N00033030,"Huffman, Jared",D,CA02,H2CA06259
N00035920,"Hughes, Bill Jr",D,NJ02,H4NJ02140
N00030673,"Huizenga, Bill",R,MI02,H0MI02094
N00031104,"Hultgren, Randy",R,IL14,H0IL14080
N00029258,"Hunter, Duncan D",R,CA50,H8CA52052
N00031417,"Hurd, Will",R,TX23,H0TX23086
N00031265,"Hurt, Robert",R,VA05,H0VA05095
N00036431,"Hutto, Brad",D,SCS2,S4SC00364
N00005963,"Idrogo, Michael",L,TX20,H8TX28039
N00035756,"Ince, Cecil Anthony",L,TX03,H4TX03072
N00005582,"Inhofe, James M",R,OKS2,S4OK00083
N00036288,"Irvin, Nate",D,MO04,H4MO04120
N00002593,"Isakson, Johnny",R,GAS2,S6GA00119
N00013345,"Israel, Steve",D,NY03,H0NY02085
N00007017,"Issa, Darrell",R,CA49,H0CA48024
N00031603,"Izzo, Rose",R,DE01,H0DE01025
N00005818,"Jackson Lee, Sheila",D,TX18,H4TX18054
N00036559,"Jackson, Eli ""Sarge""",3,MS04,H4MS04155
N00036366,"James, Armond",R,PA02,H4PA02051
N00036435,"James, Joshua",L,TNS2,S4TN00435
N00036786,"Jamias, Mapu S",D,AS00,H4AS00069
N00035573,"Janay, Laura",I,FL09,H4FL09125
N00033640,"Jeffries, Hakeem",D,NY08,H2NY10092
N00035531,"Jenkins, Evan",R,WV03,H4WV03070
N00035804,"Jenkins, Jim",I,NES2,S4NE00124
N00029077,"Jenkins, Lynn",R,KS02,H8KS02090
N00035613,"Jennings, Vincent",I,MO07,H4MO07123
N00035425,"Jensen, Elisabeth",D,KY06,H4KY06130
N00029444,"Johanns, Mike",R,NES2,S8NE00117
N00032088,"Johnson, Bill",R,OH06,H0OH06189
N00036468,"Johnson, Connie",D,OKS1,S4OK00307
N00036576,"Johnson, Dennis B",I,OK04,H4OK04150
N00008122,"Johnson, Eddie Bernice",D,TX30,H2TX00015
N00027848,"Johnson, Hank",D,GA04,H6GA04129
N00036709,"Johnson, Heather",L,MNS1,S4MN00445
N00035128,"Johnson, James L Jr",I,IN01,H4IN01160
N00036081,"Johnson, Johnny",L,TX09,H4TX09129
N00035725,"Johnson, Karen M",I,IL03,H4IL03085
N00032546,"Johnson, Ron",R,WIS2,S0WI00197
N00008028,"Johnson, Sam",R,TX03,H2TX03118
N00036859,"Johnson, Sam",I,MI13,H4MI13218
N00010084,"Johnson, Tim",D,SDS2,S6SD00051
N00034817,"Joiner, Gregory",I,TN09,H2TN09174
N00035717,"Jolly, David",R,FL13,H4FL13101
N00036031,"Jones, Davy",L,WV02,H4WV02130
N00036810,"Jones, Harold H",L,MI05,H4MI05156
N00036457,"Jones, Jeff",I,MIS1,S4MI00405
N00036785,"Jones, Paul",L,VA05,H4VA05055
N00035974,"Jones, Russ",L,TX08,H4TX08097
N00002299,"Jones, Walter B Jr",R,NC03,H2NC01081
N00027894,"Jordan, Jim",R,OH04,H6OH04082
N00035007,"Joyce, David P",R,OH14,H2OH14064
N00033182,"Kabat, Ronald P",3,CA20,H0CA17185
N00035586,"Kaifesh, Lawrence Joseph",R,IL08,H4IL08126
N00033177,"Kaine, Tim",D,VAS1,S2VA00142
N00003522,"Kaptur, Marcy",D,OH09,H2OH09031
N00035934,"Katko, John",R,NY24,H4NY24073
N00033516,"Kaufman, Joe",R,FL23,H2FL20043
N00031933,"Keating, Bill",D,MA09,H0MA10082
N00036659,"Keller, Craig",R,WA07,H4WA07073
N00031647,"Kelly, Mike",R,PA03,H0PA03271
N00035215,"Kelly, Robin",D,IL02,H2IL02172
N00035976,"Kelsey, Bill",L,TX10,H4TX10184
N00034044,"Kennedy, Joe III",D,MA04,H2MA04073
N00036864,"Kent, Gaylon",L,COS2,S4CO00403
N00036629,"Kent, Joe",L,HI02,H4HI02116
N00026427,"Khanna, Ro",D,CA17,H4CA12055
N00033395,"Kildee, Dan",D,MI05,H2MI05119
N00034453,"Kilmer, Derek",D,WA06,H2WA06129
N00035205,"Kimber, James",D,CA50,H2CA50166
N00036341,"Kimmick, Randy",L,NV03,H4NV03118
N00004403,"Kind, Ron",D,WI03,H6WI03099
N00034580,"King, Angus",I,MES1,S2ME00109
N00025630,"King, Karl",I,ORS1,S4OR00164
N00001193,"King, Pete",R,NY02,H2NY03089
N00036509,"King, R Adam",R,CA37,H4CA37078
N00025237,"King, Steven A",R,IA04,H2IA05072
N00002656,"Kingston, Jack",R,GAS1,S4GA11210
N00030667,"Kinzinger, Adam",R,IL16,H0IL11052
N00012539,"Kirk, Mark",R,ILS2,S0IL00261
N00029260,"Kirkpatrick, Ann",D,AZ01,H8AZ01104
N00036357,"Klepinger, Robert",D,OH10,H4OH10167
N00004436,"Kline, John",R,MN02,H8MN06047
N00027500,"Klobuchar, Amy",D,MNS2,S6MN00267
N00035820,"Knight, Steve",R,CA25,H4CA25123
N00036002,"Koch, Max",L,TX30,H4TX30034
N00025996,"Kocher, Victor",L,SCS2,S2SC00079
N00035454,"Kohn, Erin Bilbray",D,NV03,H4NV03084
N00036677,"Kohring, Vic",3,AKS1,S4AK00271
N00036680,"Kokoski, Michael",L,HIS1,S4HI00169
N00036711,"Kolber, Vincent A",R,IL05,H6IL05150
N00035715,"Koller, David",D,FL11,H4FL11071
N00035995,"Kolls, Mike",L,TX24,H4TX24151
N00032568,"Koniz, Gary",3,FL04,H0FL04116
N00033548,"Kopsick, Joe",I,OR03,H4OR03119
N00035922,"Kovach, Janice",D,NJ07,H4NJ07099
N00036624,"Krepp, Tim",I,DC00,H4DC00076
N00036266,"Krom, John",L,IN05,H4IN05153
N00002798,"Krulick, Al",I,FL07,H6FL08130
N00034319,"Kuhnle, Justin",D,IN03,H2IN03152
N00035884,"Kultala, Kelly",D,KS03,H4KS03188
N00033822,"Kundrata, Fred",D,OH01,H2OH02093
N00036408,"Kurtz, Tony",R,WI03,H4WI03144
N00030875,"Kuster, Ann Mclane",D,NH02,H0NH02181
N00031377,"Labrador, Raul",R,ID01,H0ID01253
N00030308,"Ladner, Lenny",L,TN07,H2TN07194
N00036418,"Lafrance, Nathan",L,ARS1,S4AR00129
N00005310,"Laird, Steven C",L,NE02,H8NE02204
N00001191,"Lally, Grant",R,NY03,H4NY03077
N00033987,"LaMalfa, Doug",R,CA01,H2CA02142
N00035942,"Lambert, Dennis G",3,OH06,H4OH06090
N00028133,"Lamborn, Douglas L",R,CO05,H6CO05159
N00000898,"Lance, Leonard",R,NJ07,H6NJ12136
N00035488,"Land, Terri Lynn",R,MIS1,S4MI00363
N00005395,"Landrieu, Mary L",D,LAS1,S6LA00227
N00036823,"Langan, Jeffrey",L,OR03,H4OR03127
N00035977,"Lange, Ryan",L,TX11,H4TX11034
N00009724,"Langevin, Jim",D,RI02,H0RI02139
N00031129,"Lankford, James",R,OKS1,S4OK00232
N00035993,"Lapham, Rob",L,TX22,H4TX22189
N00035626,"Lara, Rocky",D,NM02,H4NM02072
N00009759,"Larsen, Rick",D,WA02,H0WA02080
N00000575,"Larson, John B",D,CT01,H8CT01046
N00004227,"Latham, Tom",R,IA03,H4IA05102
N00012233,"Latta, Robert E",R,OH05,H8OH05036
N00035956,"Lavallee, Dan",D,PA03,H4PA03109
N00035093,"Lavergne, Frederick",3,NJ03,H4NJ03163
N00027607,"Lawhorn, Zane Rene",I,WVS2,S6WV00063
N00034068,"Lawrence, Brenda",D,MI14,H2MI14111
N00035852,"Lawrence, Henry",D,FL16,H4FL16146
N00036857,"Lawrence, John",3,MI06,H4MI06139
N00036348,"Lawrence, Nate",I,NY05,H4NY05098
N00036114,"Lawson, Howard",I,FL03,H4FL03102
N00035334,"Leach, Ron",D,KY02,H4KY02089
N00036243,"Leader, William",R,CA29,H4CA29133
N00009918,"Leahy, Patrick",D,VTS2,S4VT00017
N00035833,"Leavens, Drew",D,CA45,H4CA49107
N00008046,"Lee, Barbara",D,CA13,H8CA09060
N00035847,"Lee, Luther",I,FL02,H4FL02070
N00031696,"Lee, Mike",R,UTS2,S0UT00165
N00035383,"Leflore, Burton",D,AL01,H4AL01156
N00036732,"Leiber, Arthur",D,MO02,H4MO02066
N00035837,"Leing, George",R,CO02,H4CO02094
N00029779,"Leone, Ross",L,TX15,H8TX28203
N00036750,"Lester, Mark",D,AL06,H4AL06148
N00035967,"Letsos, Niko",D,TX02,H4TX02157
N00036768,"Letton, Don",3,NJ01,H4NJ01167
N00036852,"Leuenberger, Jim",3,ORS1,S4OR00255
N00001691,"Levin, Carl",D,MIS1,S8MI00158
N00003950,"Levin, Sander",D,MI09,H2MI17023
N00002577,"Lewis, John",D,GA05,H6GA05217
N00035682,"Lewis, John",D,MT01,H4MT00068
N00003796,"Leyva, Mark J",R,IN01,H8IN01096
N00032290,"Lieber, Arthur Henry",D,MO02,H0MO02213
N00035295,"Lieberman, Richard",D,LA06,H4LA06062
N00035825,"Lieu, Ted",D,CA33,H4CA33119
N00027239,"Lipinski, Daniel",D,IL03,H4IL03077
N00036119,"Livingston, Gregory Seal",I,IL07,H4IL07169
N00036796,"Loban, Jess",L,CO04,H4CO04140
N00000851,"LoBiondo, Frank A",R,NJ02,H2NJ02037
N00027741,"Loebsack, David",D,IA02,H6IA02146
N00035990,"Loewe, Mark",L,TX21,H4TX21082
N00007479,"Lofgren, Zoe",D,CA19,H4CA16049
N00035556,"Logue, Dan",R,CA03,H4CA03096
N00030676,"Long, Billy",R,MO07,H0MO07113
N00036536,"Long, Charles A",R,MD03,H4MD03123
N00035018,"Lord, Randall",L,LA04,H2LA04129
N00035347,"Loudermilk, Barry",R,GA11,H4GA11061
N00033842,"Love, Mia",R,UT04,H2UT04023
N00033274,"Lowenthal, Alan",D,CA47,H2CA00104
N00035891,"Lowenthal, Jason Philip",3,MA07,H4MA07106
N00001024,"Lowey, Nita M",D,NY17,H8NY20056
N00005559,"Lucas, Frank D",R,OK03,H4OK06056
N00030026,"Luetkemeyer, Blaine",R,MO03,H8MO09153
N00033004,"Lugo, Christina",3,ORS1,S4OR00263
N00029562,"Lujan, Ben R",D,NM03,H8NM03196
N00029788,"Lummis, Cynthia Marie",R,WY01,H8WY00148
N00036582,"Lynch, Cormick",R,RI01,H4RI01125
N00013855,"Lynch, Stephen F",D,MA08,H2MA09072
N00036155,"MacArthur, Thomas",R,NJ03,H4NJ03130
N00035588,"Macfarlane, Michael",R,KY03,H4KY03210
N00035635,"Maciel, Jonathan",I,RI01,H4RI01091
N00030558,"Macko, David",L,OH14,H8OH14103
N00035914,"MacQueen, Tate",D,NC10,H4NC10104
N00027891,"Maffei, Dan",D,NY24,H6NY25125
N00020079,"Magee, Doug",D,MS03,H4MS00013
N00036767,"Maggard, Mike",I,KYS1,S4KY00190
N00001157,"Maher, Pat",D,NY02,H8NY04050
N00000078,"Maloney, Carolyn B",D,NY12,H2NY14037
N00034277,"Maloney, Sean Patrick",D,NY18,H2NY22139
N00032838,"Manchin, Joe",D,WVS1,S0WV00090
N00035487,"Maness, Rob",R,LAS1,S4LA00115
N00026710,"Marchant, Kenny",R,TX24,H4TX24094
N00035463,"Marchbanks, Neal",D,TX19,H4TX19276
N00036200,"Marineau, Paul",I,MIS1,S4MI00397
N00031777,"Marino, Tom",R,PA10,H0PA10078
N00000270,"Markey, Ed",D,MAS2,S4MA00028
N00032264,"Marksberry, Ed",I,KYS1,S4KY00067
N00035817,"Marrero-Aguilera, Suzanna",D,CA22,H4CA22104
N00035873,"Mason, Michael",D,IL06,H4IL06104
N00034041,"Massie, Thomas",R,KY04,H2KY04121
N00035053,"Mata'Utia, Tu'au Kereti Jr",D,AS00,H2AS00055
N00036391,"Mates, Ben J",3,UT03,H4UT03203
N00009753,"Matheson, Jim",D,UT04,H0UT02096
N00035132,"Matkin, Richard A",3,MIS1,S2MI00243
N00027459,"Matsui, Doris O",D,CA06,H6CA05195
N00036712,"Maxwell, Chip",I,NE02,H4NE02120
N00036356,"May, Richard",R,OH09,H4OH09102
N00036801,"Mayo, Chris",L,IN07,H4IN07183
N00036637,"Mayock, Frederick",I,MA01,H4MA01059
N00036174,"McAffrey, Al",W,OK05,H4OK05124
N00034442,"McAleer, Donna",D,UT01,H2UT01235
N00035593,"McAllister, Vance",R,LA05,H4LA05130
N00006424,"McCain, John",R,AZS1,S6AZ00019
N00001148,"McCarthy, Carolyn",D,NY04,H6NY04112
N00028152,"McCarthy, Kevin",R,CA23,H6CA22125
N00027694,"McCaskill, Claire",D,MOS2,S6MO00305
N00026460,"McCaul, Michael",R,TX10,H4TX10093
N00034468,"McCausland, Shaun",3,UT02,H4UT02221
N00035304,"McClelland, Erin",D,PA12,H4PA12043
N00036589,"McClendon, Martin",R,WA06,H4WA06075
N00006863,"McClintock, Tom",R,CA04,H8CA04152
N00012942,"McCollum, Betty",D,MN04,H0MN04049
N00003389,"McConnell, Mitch",R,KYS1,S2KY00012
N00034384,"McCray, Joseph Sr",R,CA06,H2CA06291
N00036134,"McCulloch, Craig",R,LA06,H4LA06146
N00034908,"McDermott, Jim",L,AK01,H2AK00143
N00009829,"McDermott, Jim",D,WA07,H8WA07132
N00036858,"McDermott, John V",3,MI09,H4MI09091
N00036407,"McDonald, Joyce",R,WA10,H4WA10010
N00035489,"McFadden, Mike",R,MNS1,S4MN00346
N00033922,"McGehearty, Patrick",D,TX24,H2TX24114
N00000179,"McGovern, James P",D,MA02,H4MA03022
N00026627,"McHenry, Patrick",R,NC10,H4NC10047
N00002356,"McIntyre, Mike",D,NC07,H8NC07044
N00033834,"McKellar, Shirley",D,TX01,H2TX01062
N00035397,"McKenna, Michael",D,FL10,H4FL09091
N00035681,"McKenzie, Bobby",D,MI11,H4MI11105
N00006882,"McKeon, Buck",R,CA25,H2CA25036
N00031681,"McKinley, David",R,WV01,H0WV01072
N00036375,"McLaughlin, Curtis E",L,SC04,H4SC04085
N00033509,"McLeod, Gloria",D,CA35,H2CA35118
N00026314,"McMorris Rodgers, Cathy",R,WA05,H4WA05077
N00035779,"McMorris, Brannon",L,LAS1,S4LA00123
N00026926,"McNerney, Jerry",D,CA09,H4CA11081
N00036096,"McPherson, Jackie",D,AR01,H4AR01051
N00033982,"McSally, Martha",R,AZ02,H2AZ08102
N00036515,"Meade, Stephen",I,CA51,H4CA51079
N00033631,"Meadows, Mark R",R,NC11,H2NC11080
N00031134,"Meehan, Patrick",R,PA07,H0PA07082
N00001171,"Meeks, Gregory W",D,NY05,H8NY06048
N00027326,"Mendoza, M V",D,LA01,H6LA02173
N00000699,"Menendez, Robert",D,NJS1,S6NJ00289
N00034547,"Meng, Grace",D,NY06,H2NY06116
N00035352,"Mensing, Dale Kenneth",R,CA02,H4CA02098
N00030506,"Meo, Michael",3,OR03,H8OR03052
N00033037,"Mercer, Gabriela Saucedo",R,AZ03,H2AZ07146
N00029303,"Merkley, Jeff",D,ORS1,S8OR00207
N00036795,"Mero, Travis",L,CO03,H4CO03274
N00012546,"Messer, Luke",R,IN06,H0IN02125
N00036713,"Metcalfe, Margaret",R,GU00,H4GU00021
N00036837,"Meyer, Randall",I,VT01,H4VT00124
N00036696,"Meyer, Robert H",I,HI01,H4HI01209
N00035513,"Meyers, Vic",D,CO04,H4CO04074
N00002793,"Mica, John L",R,FL07,H2FL08055
N00024770,"Michaud, Mike",D,ME02,H2ME02097
N00025775,"Mikkelson, Harley",3,MI10,H2MI05101
N00001945,"Mikulski, Barbara A",D,MDS2,S6MD00140
N00036522,"Milakovich, Marko",I,FL09,H4FL09133
N00009795,"Miller, Candice S",R,MI10,H6MI12181
N00031493,"Miller, Darrel",D,IL18,H4IL18117
N00036856,"Miller, Eric",L,IN06,H4IN06110
N00006954,"Miller, Gary",R,CA31,H8CA41063
N00007390,"Miller, George",D,CA11,H6CA07043
N00013846,"Miller, Jeff",R,FL01,H2FL01100
N00029495,"Miller-Meeks, Mariannette",R,IA02,H8IA02043
N00035443,"Mills, Stewart",R,MN08,H4MN08083
N00035464,"Minor, Louie",D,TX31,H4TX31040
N00035758,"Minter, Michael",D,TX13,H4TX13063
N00035604,"Misiuk, Isaac",R,ME01,H4ME01137
N00036475,"Mitchell, Cassandra J",I,TN03,H4TN03181
N00036041,"Mitchell, Nels",D,IDS1,S4ID00075
N00033368,"Mitchum, Christopher",R,CA24,H2CA23114
N00034719,"Monchil, Russ",L,MO06,H2MO06228
N00036610,"Montchalin, Mike",L,ORS1,S4OR00222
N00034502,"Montigel, Bob",D,GA06,H2GA06107
N00036770,"Montilla, Nestor",I,NJ09,H4NJ09129
N00005988,"Montoya, Marco",D,TX25,H8TX20127
N00036275,"Moolenaar, John",R,MI04,H4MI04126
N00033814,"Mooney, Alex",R,WV02,H4WV02080
N00036232,"Moore, Art",R,CA04,H4CA04102
N00026914,"Moore, Gwen",D,WI04,H4WI04183
N00035184,"Moore, Matt",D,MS04,H2MS04225
N00028833,"Moran, David",L,WV01,H6WV01061
N00005282,"Moran, Jerry",R,KSS2,S0KS00091
N00002083,"Moran, Jim",D,VA08,H0VA08040
N00036520,"Moser-Bartlett, Paula",I,FL04,H4FL04043
N00036649,"Mosher, Norm",D,VA01,H4VA01070
N00035431,"Moulton, Seth",D,MA06,H4MA06090
N00035416,"Mowrer, Jim",D,IA04,H4IA04113
N00035634,"Moylan, David",R,PA17,H4PA17125
N00033410,"Mullin, Markwayne",R,OK02,H2OK02083
N00036374,"Mullis, Barbara Jo",D,SC03,H4SC03129
N00031412,"Mulvaney, Mick",R,SC05,H0SC05031
N00026050,"Murkowski, Lisa",R,AKS2,S4AK00099
N00027566,"Murphy, Christopher S",D,CTS1,S2CT00132
N00035289,"Murphy, Pat",D,IA01,H4IA01069
N00033091,"Murphy, Patrick E",D,FL18,H2FL22072
N00036078,"Murphy, Richard",I,ME01,H4ME00014
N00005531,"Murphy, Robert T",L,OK05,H6OK04098
N00024992,"Murphy, Tim",R,PA18,H2PA18143
N00007876,"Murray, Patty",D,WAS2,S2WA00189
N00034492,"Murray, Robert",R,CA19,H2CA19112
N00000939,"Nadler, Jerrold",D,NY10,H2NY17071
N00006789,"Napolitano, Grace",D,CA32,H8CA34068
N00033667,"Narvaiz, Susan",R,TX35,H2TX35029
N00036647,"Nazario, Noel Jaime",I,OH09,H4OH09110
N00000153,"Neal, Richard E",D,MA01,H8MA02041
N00036781,"Neely, Charles",I,AR02,H4AR02182
N00009926,"Nelson, Bill",D,FLS1,S8FL00166
N00027570,"Neree, Dufirstson",R,FL24,H6FL17032
N00035336,"Nestande, Brian",R,CA36,H4CA36120
N00031469,"Netherwood, Ray",L,FL19,H0FL02136
N00026043,"Neugebauer, Randy",R,TX19,H4TX19102
N00036758,"Neuman, Scott",3,NJ04,H4NJ04138
N00035849,"Neuman, Wes",D,FL07,H4FL07087
N00036403,"Newhouse, Daniel Milton",R,WA04,H4WA04104
N00036526,"Newman, Joe",I,FL16,H4FL16153
N00036512,"Nick, Adam",R,CA46,H4CA46129
N00032022,"Noem, Kristi",R,SD01,H0SD00054
N00021207,"Nolan, Rick",D,MN08,H2MN08111
N00036154,"Norcross, Don",D,NJ01,H4NJ01084
N00001692,"Norton, Eleanor Holmes",D,DC00,H0DC00058
N00032441,"Nugent, Richard",R,FL11,H0FL05139
N00007248,"Nunes, Devin",R,CA22,H8CA20059
N00035480,"Nunn, Michelle",D,GAS1,S4GA11277
N00031006,"Nunnelee, Alan",R,MS01,H0MS01043
N00036572,"O'Donnell, Jim",D,NY27,H4NY27118
N00003338,"O'Hara, Shawn",3,MSS1,S4MS00062
N00033540,"O'Rourke, Beto",D,TX16,H2TX16185
N00009638,"Obama, Barack",D,PRES,P80003338
N00034629,"Obermueller, Mike",D,MN02,H2MN02122
N00024894,"Oberweis, James D",R,ILS1,S2IL00119
N00036771,"Olabisi, Bayo",I,NJ02,H4NJ02165
N00031808,"Oliver, Bill",L,TX17,H0TX31022
N00035096,"Olivera, Pablo",I,NJ08,H2NJ08224
